catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	extract	date	source
KU	305817	CDS	2271	Hemidactylus	frenatus	Philippines	Luzon	False	2006-07-14	ku_gekkonid_tissues.txt
KU	305816	CDS	2270	Hemidactylus	frenatus	Philippines	Luzon	False	2006-07-14	ku_gekkonid_tissues.txt
KU	305819	CDS	2273	Hemidactylus	frenatus	Philippines	Luzon	False	2006-07-14	ku_gekkonid_tissues.txt
KU	305818	CDS	2272	Hemidactylus	frenatus	Philippines	Luzon	False	2006-07-14	ku_gekkonid_tissues.txt
KU	319662	RMB	11747	Cyrtodactylus	jambangan	Philippines	Mindanao	False	2009-04-10	ku_gekkonid_tissues.txt
KU	308553	ELR	1011	Hemidactylus	frenatus	Philippines	Mindoro	False	2007-01-08	ku_gekkonid_tissues.txt
KU	319660	RMB	11745	Cyrtodactylus	jambangan	Philippines	Mindanao	False	2009-04-10	ku_gekkonid_tissues.txt
KU	308552	ELR	1010	Gekko	mindorensis	Philippines	Mindoro	False	2007-01-08	ku_gekkonid_tissues.txt
KU	323189	RMB	12834	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2009-06-13	ku_gekkonid_tissues.txt
KU	330058	RMB	15139	Pseudogekko	compressicorpus	Philippines	Luzon	False	2011-07-26	ku_gekkonid_tissues.txt
KU	304145	CDS	60	Gekko	gecko	Philippines	Camiguin sur	False	2000-10-05	ku_gekkonid_tissues.txt
KU	302729	CDS	63	Gekko	mindorensis	Philippines	Panay	False	2000-09-10	ku_gekkonid_tissues.txt
KU	302730	CDS	64	Gekko	sp/mindorensis	Philippines	Panay	True	2000-09-10	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	302731	CDS	65	Gekko	sp/mindorensis	Philippines	Panay	True	2000-09-10	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	302732	CDS	66	Gekko	sp/mindorensis	Philippines	Panay	True	2000-09-10	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	302714	CDS	67	Gekko	gecko	Philippines	Panay	False	2000-09-10	ku_gekkonid_tissues.txt
KU	302705	CDS	137	Gekko	gecko	Philippines	Panay	False	2000-10-14	ku_gekkonid_tissues.txt
KU	302706	CDS	138	Gekko	gecko	Philippines	Panay	False	2000-10-14	ku_gekkonid_tissues.txt
KU	304805	RMB	5926	Luperosaurus	macgregori	Philippines	Babuyan claro	False	2006-03-13	ku_gekkonid_tissues.txt
KU	302778	CDS	1678	Hemidactylus	frenatus	Philippines	Panay	False	2001-11-29	ku_gekkonid_tissues.txt
KU	305136	CDS	1679	Gekko	sp.	Philippines	Panay	False	2005-01-25	ku_gekkonid_tissues.txt
KU	302774	CDS	1674	Hemidactylus	frenatus	Philippines	Panay	False	2001-11-29	ku_gekkonid_tissues.txt
KU	302775	CDS	1675	Hemidactylus	frenatus	Philippines	Panay	False	2001-11-29	ku_gekkonid_tissues.txt
KU	302776	CDS	1676	Hemidactylus	frenatus	Philippines	Panay	False	2001-11-29	ku_gekkonid_tissues.txt
KU	304836	RMB	5957	Gekko	crombota	Philippines	Babuyan claro	False	2006-03-13	ku_gekkonid_tissues.txt
KU	304829	RMB	5950	Gekko	crombota	Philippines	Babuyan claro	False	2006-03-13	ku_gekkonid_tissues.txt
KU	304830	RMB	5951	Gekko	sp/crombota	Philippines	Babuyan claro	True	2006-03-13	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	302651	CDS	1672	Gehyra	mutilata	Philippines	Panay	False	2001-11-29	ku_gekkonid_tissues.txt
KU	302652	CDS	1673	Gehyra	mutilata	Philippines	Panay	False	2001-11-29	ku_gekkonid_tissues.txt
KU	304160	CDS	685	Gekko	gecko	Philippines	Semirara	False	2004-11-17	ku_gekkonid_tissues.txt
KU	302692	CDS	684	Gekko	gecko	Philippines	Semirara	False	2000-11-16	ku_gekkonid_tissues.txt
KU	302694	CDS	687	Gekko	gecko	Philippines	Semirara	False	2000-11-17	ku_gekkonid_tissues.txt
KU	302693	CDS	686	Gekko	gecko	Philippines	Semirara	False	2000-11-17	ku_gekkonid_tissues.txt
KU	330174	RMB	14733	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2011-07-09	ku_gekkonid_tissues.txt
KU	330176	RMB	14735	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2011-07-09	ku_gekkonid_tissues.txt
KU	330175	RMB	14734	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2011-07-09	ku_gekkonid_tissues.txt
KU	322270	RMB	12453	Hemidactylus	platyurus	Philippines	Luzon	False	2009-06-03	ku_gekkonid_tissues.txt
KU	307048	RMB	6371	Gekko	sp.	Philippines	Dalupiri	False	2006-09-13	ku_gekkonid_tissues.txt
KU	307047	RMB	6370	Gekko	sp.	Philippines	Dalupiri	False	2006-09-13	ku_gekkonid_tissues.txt
KU	307050	RMB	6373	Gekko	sp.	Philippines	Dalupiri	False	2006-09-13	ku_gekkonid_tissues.txt
KU	307049	RMB	6372	Gekko	sp.	Philippines	Dalupiri	False	2006-09-13	ku_gekkonid_tissues.txt
KU	307052	RMB	6375	Gekko	sp.	Philippines	Dalupiri	False	2006-09-13	ku_gekkonid_tissues.txt
KU	307051	RMB	6374	Gekko	sp.	Philippines	Dalupiri	False	2006-09-13	ku_gekkonid_tissues.txt
KU	326421	RMB	2870	Gekko	mindorensis	Philippines	Panglao	True	2000-12-17	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	330066	RMB	14886	Lepidodactylus	lugubris	Philippines	Luzon	False	2011-07-18	ku_gekkonid_tissues.txt
KU	330181	RMB	14885	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2011-07-18	ku_gekkonid_tissues.txt
KU	330180	RMB	14884	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2011-07-18	ku_gekkonid_tissues.txt
KU	330179	RMB	14883	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2011-07-18	ku_gekkonid_tissues.txt
