catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	extract	date	source
LSUHC	184	LSUHC	184	Gekko	smithii	Malaysia	Pulau Tioman		Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril				False		LSUHC_geckos.txt
LSUHC	4888	LSUHC	4888	Cyrtodactylus	pubisulcus	East Malaysia			East Malaysia, Sarawak, Gunung Gading				False		LSUHC_geckos.txt
LSUHC	3224	LSUHC	3224	Gekko	palmatus	Vietnam			Vietnam, Tom Dao				False		LSUHC_geckos.txt
LSUHC	3225	LSUHC	3225	Gekko	palmatus	Vietnam			Vietnam, Tom Dao				False		LSUHC_geckos.txt
LSUHC	3223	LSUHC	3223	Gekko	palmatus	Vietnam			Vietnam, Tom Dao				False		LSUHC_geckos.txt
LSUHC	4294	LSUHC	4294	Ptychozoon	lionotum	West Malaysia	Pulau Perhentian Besar		West Malaysia, Trengganu, Pulau Perhentian Besar				False		LSUHC_geckos.txt
LSUHC	4017	LSUHC	4017	Cyrtodactylus	sp.	Cambodia			Cambodia, Kampot Prov., Phnom Laang				False		LSUHC_geckos.txt
LSUHC	4293	LSUHC	4293	Ptychozoon	lionotum	West Malaysia	Pulau Perhentian Besar		West Malaysia, Trengganu, Pulau Perhentian Besar				False		LSUHC_geckos.txt
LSUHC	5229	LSUHC	5229	Cyrtodactylus	oldhami	Thailand			Thailand, Chumpon, Pathio				False		LSUHC_geckos.txt
LSUHC	5176	LSUHC	5176	Cyrtodactylus	pulchellus	West Malaysia			West Malaysia, Perak, Bukit Larut				False		LSUHC_geckos.txt
LSUHC	5177	LSUHC	5177	Cyrtodactylus	pulchellus	West Malaysia			West Malaysia, Perak, Bukit Larut				False		LSUHC_geckos.txt
LSUHC	411	LSUHC	411	Cyrtodactylus	pubisulcus	Malaysia			Malaysia, Sarawak, Matang				False		LSUHC_geckos.txt
LSUHC	6309	LSUHC	6309	Cyrtodactylus	majula	Singapore			Singapore, Nee Soon Swamp				False		LSUHC_geckos.txt
LSUHC	410	LSUHC	410	Cyrtodactylus	pubisulcus	Malaysia			Malaysia, Sarawak, Matang				False		LSUHC_geckos.txt
LSUHC	5776	LSUHC	5776	Cyrtodactylus	quadrivirgatus	West Malaysia			West Malaysia, Perak, Bukit Larut				False		LSUHC_geckos.txt
LSUHC	3418	LSUHC	3418	Cyrtodactylus	chuyangsinensis	Vietnam			Vietnam, Chu Yang Sin National Park				False		LSUHC_geckos.txt
LSUHC	3450	LSUHC	3450	Ptychozoon	kuhli	West Malaysia	Pulau Langkawi		West Malaysia, Kedah, Pulau Langkawi				False		LSUHC_geckos.txt
LSUHC	3453	LSUHC	3453	Ptychozoon	kuhli	West Malaysia	Pulau Langkawi		West Malaysia, Kedah, Pulau Langkawi				False		LSUHC_geckos.txt
LSUHC	5140	LSUHC	5140	Cyrtodactylus	leegrismeri	West Malaysia	Pulau Tenggol		West Malaysia, Terengganu, Pulau Tenggol				False		LSUHC_geckos.txt
LSUHC	3158	LSUHC	3158	Cyrtodactylus	eismannii	Vietnam			Vietnam, Hon Son				False		LSUHC_geckos.txt
LSUHC	3159	LSUHC	3159	Cyrtodactylus	grismeri	Vietnam			Vietnam, Tuc Dup Hill				False		LSUHC_geckos.txt
LSUHC	3452	LSUHC	3452	Ptychozoon	kuhli	West Malaysia	Pulau Langkawi		West Malaysia, Kedah, Pulau Langkawi				False		LSUHC_geckos.txt
LSUHC	4994	LSUHC	4994	Cyrtodactylus	pulchellus	West Malaysia			West Malaysia, Perak, Bukit Larut				False		LSUHC_geckos.txt
LSUHC	5075	LSUHC	5075	Cyrtodactylus	cf. paradoxus	Vietnam	Nam Du		Vietnam, Nam Du Island				False		LSUHC_geckos.txt
LSUHC	5074	LSUHC	5074	Cyrtodactylus	cf. paradoxus	Vietnam	Nam Du		Vietnam, Nam Du Island			G-95-LOOSE	False		LSUHC_geckos.txt
LSUHC	3156	LSUHC	3156	Cyrtodactylus	eismannii	Vietnam			Vietnam, Hon Son				False		LSUHC_geckos.txt
LSUHC	3157	LSUHC	3157	Cyrtodactylus	eismannii	Vietnam			Vietnam, Hon Son				False		LSUHC_geckos.txt
LSUHC	1025	LSUHC	1025	Gekko	smithii	Malaysia	Pulau Tulai		Malaysia, Johor, Pulau Tulai				False		LSUHC_geckos.txt
