catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	tissue_sample.found	tissue_sample.material	tissue_sample.preservative	tissue_sample.tube_data	tissue_sample.notes	extraction.protocol	extraction.rnase	extraction.qubit	extraction.notes	extraction.gel_lane	extraction.plate	extraction.row	extraction.column	extraction.dilution	cam_extract	cam_extract_cell	date	source
KU	302728	CDS	758	Gekko	mindorensis	Philippines	Masbate	Visayan	Masbate Province; Municipality of Mandaon; Barangay Poblacion			E-68-50	True	liver	etoh	{}		guanidine thiocyanate	True	344.0		270	3	A	2	5.0	True	I4	2001-01-24	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	325831	RMB	13551	Hemidactylus	frenatus	Philippines	Luzon	Luzon	Nueva Vizcaya Province; Municipality of Quezon; Barangay Maddiangat, in and around barangay proper	16.4970000	121.2090000	Y-369-E3	True	liver	etoh	{}		guanidine thiocyanate	True	12.4		353	3	F	9	5.0	False		2010-01-16	ku_gekkonid_tissues.txt
KU	329534	RMB	14453	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Ilocos Norte Province; Municipality of Adams; Barangay Adams, Site 3, Mt. Pao	-18.4490000	120.8940000	AB-407-A9	True	liver	etoh	{}		guanidine thiocyanate	True	235.0		118	1	B	11	5.0	False		2011-06-27	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	328822	RMB	13659	Gekko	mindorensis	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-H5	True	liver	etoh	{}		guanidine thiocyanate	True	277.0		258	2	F	12	5.0	False		2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	325833	RMB	13553	Hemidactylus	frenatus	Philippines	Luzon	Luzon	Nueva Vizcaya Province; Municipality of Quezon; Barangay Maddiangat, in and around barangay proper	16.4970000	121.2090000	Y-369-E5	True	liver	etoh	{}		guanidine thiocyanate	True	27.0		355	3	H	9	5.0	False		2010-01-16	ku_gekkonid_tissues.txt
KU	314008	RMB	9533	Lepidodactylus	balioburius	Philippines	Batan	Batanes	Batanes Province; Municipality of Basco; Barangay San Antonio, Sitio Chadpidan	20.4700000	-121.9910000	T-287-C7	True	liver	etoh	{}		guanidine thiocyanate	True	351.0		365	3	F	10	5.0	False		2008-05-31	ku_gekkonid_tissues.txt
KU	314005	RMB	9530	Lepidodactylus	balioburius	Philippines	Batan	Batanes	Batanes Province; Municipality of Basco; Barangay San Antonio, Sitio Chadpidan	20.4700000	-121.9910000	T-287-C4	True	liver	etoh	{}		guanidine thiocyanate	True	75.6		362	3	D	10	5.0	False		2008-05-31	ku_gekkonid_tissues.txt
KU	314006	RMB	9531	Lepidodactylus	balioburius	Philippines	Batan	Batanes	Batanes Province; Municipality of Basco; Barangay San Antonio, Sitio Chadpidan	20.4700000	-121.9910000	T-287-C5	True	liver	etoh	{}		guanidine thiocyanate	True	168.0		363	3	E	10	5.0	False		2008-05-31	ku_gekkonid_tissues.txt
KU	320395	CDS	3935	Gekko	mindorensis	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.7999500	120.1639300	U-313-E2	True	liver	etoh	{}		guanidine thiocyanate	True	279.0		247	2	G	11	5.0	False			ku_freezer.txt/ku_gekkonid_tissues.txt
KU	328800	RMB	13652	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-G7	True	liver	etoh	{}		guanidine thiocyanate	True	560.0		131	1	E	12	5.0	False		2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	328799	RMB	13651	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-G6	True	liver	etoh	{}		guanidine thiocyanate	True	258.0		130	1	D	12	5.0	False		2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	320396	CDS	3936	Gekko	mindorensis	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.7999500	120.1639300	U-313-E3	True	liver	etoh	{}		guanidine thiocyanate	True	12.4		248	2	H	11	5.0	False			ku_freezer.txt/ku_gekkonid_tissues.txt
KU	328820	RMB	13657	Gekko	mindorensis	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-H3	True	liver	etoh	{}		guanidine thiocyanate	True	235.0		256	2	E	12	5.0	False		2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	308549	ELR	1007	Gekko	mindorensis	Philippines	Mindoro	Mindoro	Occidental Mindoro Province; Municipality of Paluan; Barangay Harrison, Sitio Ulasan, Local Name " Matingaram"	13.4630556	120.4122222	L-177-E1	True	liver	etoh	{}		guanidine thiocyanate	True	41.4		274	3	C	2	5.0	False		2007-01-08	ku_gekkonid_tissues.txt
KU	320351	CDS	3932	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.7999500	120.1639300	U-313-D8	True	liver	etoh	{}		guanidine thiocyanate	True	279.0		80	1	G	7	5.0	False			ku_freezer.txt/ku_gekkonid_tissues.txt
KU	308552	ELR	1010	Gekko	mindorensis	Philippines	Mindoro	Mindoro	Occidental Mindoro Province; Municipality of Paluan; Barangay Harrison, Sitio Ulasan, Local Name " Matingaram"	13.4630556	120.4122222	L-177-E4	True	liver	etoh	{}		guanidine thiocyanate	True	168.0		277	3	F	2	5.0	False		2007-01-08	ku_gekkonid_tissues.txt
KU	325832	RMB	13552	Hemidactylus	frenatus	Philippines	Luzon	Luzon	Nueva Vizcaya Province; Municipality of Quezon; Barangay Maddiangat, in and around barangay proper	16.4970000	121.2090000	Y-369-E4	True	liver	etoh	{}		guanidine thiocyanate	True	341.0		354	3	G	9	5.0	False		2010-01-16	ku_gekkonid_tissues.txt
KU	328807	RMB	13719	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Albay Province; Municipality of Malinao; Barangay Sugcad, Sitio Kumagingking, "Sugcad Plaza"	13.4050800	123.6388200	Z-381-F2	True	liver	etoh	{}		guanidine thiocyanate	True	52.1		84	1	C	8	5.0	False		2011-01-05	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	328806	RMB	13713	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Albay Province; Municipality of Malinao; Barangay Sugcad, Sitio Kumagingking, "Sugcad Plaza"	13.4050800	123.6388200	Z-381-E5	True	liver	etoh	{}		guanidine thiocyanate	True	47.7		83	1	B	8	5.0	False		2011-01-05	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	305567	CDS	1768	Cyrtodactylus	annulatus	Philippines	Cebu	Visayan	Cebu Province; Municipality of Alcoy; Barangay Nug-as, CBCF field station	9.7111900	123.4488400	H-118-G1	True	liver	etoh	{}		guanidine thiocyanate	True	42.1		12	1	A	2	5.0	False		2006-06-11	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	308550	ELR	1008	Gekko	mindorensis	Philippines	Mindoro	Mindoro	Occidental Mindoro Province; Municipality of Paluan; Barangay Harrison, Sitio Ulasan, Local Name " Matingaram"	13.4630556	120.4122222	L-177-E2	True	liver	etoh	{}		guanidine thiocyanate	True	71.0		275	3	D	2	5.0	False		2007-01-08	ku_gekkonid_tissues.txt
KU	302738	CDS	788	Gekko	romblon	Philippines	Romblon	Romblon	Romblon Province; Municipality of Romblon; Barangay Li-o	12.5741000	122.2940000	E-69-1	True	liver	etoh	{}		guanidine thiocyanate	True	25.2		321	3	G	6	5.0	False		2001-01-27	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	302739	CDS	789	Gekko	romblon	Philippines	Romblon	Romblon	Romblon Province; Municipality of Romblon; Barangay Li-o	12.5741000	122.2940000	E-69-2	True	liver	etoh	{}		guanidine thiocyanate	True	126.0		322	3	H	6	5.0	False		2001-01-27	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	302741	CDS	791	Gekko	romblon	Philippines	Romblon	Romblon	Romblon Province; Municipality of Romblon; Barangay Li-o	12.5741000	122.2940000	E-69-4	True	liver	etoh	{}		guanidine thiocyanate	True	17.8		324	3	B	7	5.0	True	E1	2001-01-27	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
