box	cell	catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	cam_extract	date	source
66	56	KU	302679	CDS	609	Gekko	mindorensis	Philippines	Caluya	Visayan	Antique Province; Municipality of Caluya; Barangay Poblacion			E-66-56	True	2000-11-14	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
191	C4	KU	309327	RMB	7760	Cyrtodactylus	redimiculus	Philippines	Palawan	Palawan	Palawan Province; Municipality of Brooke's Point; Barangay Samarinana (Border with Barangay Saulog), Mt. Mantalingahan Range, Area "Pitang"	8.7503000	117.6896000	M-191-C4	True	2007-03-28	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
117	H2	KU	304939	RMB	6060	Gekko	rossi	Philippines	Calayan	Babuyan Island Group	Cagayan Valley Province; ; Barangay Magsidel, Sitio Longog	19.3310000	121.4390000	H-117-H2	False	2006-03-21	ku_freezer.txt/ku_gekkonid_tissues.txt
417	F6	KU	329346	RMB	13902	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Bulacan Province; Municipality of Dona Remedios Trinidad; Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed	15.0333000	121.2032000	AB-417-F6	False	2011-06-08	ku_freezer.txt/ku_gekkonid_tissues.txt
287	I2	KU	313986	RMB	9582	Gekko	porosus	Philippines	Batan	Batanes	Batanes Province; Municipality of Ivana; Barangay Salagao, Sitio Imnadyed			T-287-I2	False	2008-06-09	ku_freezer.txt/ku_gekkonid_tissues.txt
388	C9	KU	328370	RMB	13587	Gekko	carusadensis	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Batong Malake, UPLB Forrestry Campus	14.1534333	121.2322000	Z-388-C9	False		ku_freezer.txt/ku_gekkonid_tissues.txt
378	H4	KU	328372	RMB	13589	Gekko	carusadensis	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Batong Malake, UPLB Forrestry Campus	14.1534333	121.2322000	Z-378-H4	True		ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
378	H3	KU	328371	RMB	13588	Gekko	carusadensis	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Batong Malake, UPLB Forrestry Campus	14.1534333	121.2322000	Z-378-H3	True		ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
253	E6	KU	310802	CDS	3047	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao	Eastern Samar Province; Municipality of Taft; Barangay San Rafael	11.8025500	125.2927600	Q-253-E6	False	2007-10-23	ku_freezer.txt/ku_gekkonid_tissues.txt
190	G5			RMB	7716	Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-G5	False		ku_freezer.txt
190	G6	KU	309324	RMB	7717	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan	Palawan Province; Municipality of Brooke's Point; Barangay Mainit, Mainit Falls	9.8367333	118.6416167	M-190-G6	False	2007-03-23	ku_freezer.txt/ku_gekkonid_tissues.txt
190	G7			RMB	7718	Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-G7	False		ku_freezer.txt
190	G8			RMB	7719	Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-G8	False		ku_freezer.txt
287	H1	KU	314017	RMB	9572	Lepidodactylus	balioburius	Philippines	Sabtang	Batanes	Batanes Province; Municipality of Sabtang; Barangay Chavayan			T-287-H1	False	2008-06-07	ku_gekkonid_tissues.txt
287	G8	KU	314015	RMB	9570	Lepidodactylus	balioburius	Philippines	Sabtang	Batanes	Batanes Province; Municipality of Sabtang; Barangay Chavayan			T-287-G8	False	2008-06-07	ku_gekkonid_tissues.txt
287	G9	KU	314016	RMB	9571	Lepidodactylus	balioburius	Philippines	Sabtang	Batanes	Batanes Province; Municipality of Sabtang; Barangay Chavayan			T-287-G9	False	2008-06-07	ku_gekkonid_tissues.txt
287	H5	KU	313984	RMB	9576	Gekko	porosus	Philippines	Batan	Batanes	Batanes Province; Municipality of Ivana; Barangay Salagao, Sitio Imnadyed			T-287-H5	False	2008-06-08	ku_freezer.txt/ku_gekkonid_tissues.txt
141	F9			PNM/CMNH H	1459	Cyrtodactylus	annulatus	Philippines	Mindanao		South Cotabato Province; Municipality of Kiamba; Barangay Binati; Mt Busa; Site 1			J-141-F9	False		ku_freezer.txt
