catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	cam_extract	cam_extract_cell	date	source
KU	329530	RMB	14180	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Ilocos Norte Province; Municipality of Adams; Barangay Adams, Site 1, Mt. Pao	-18.4380000	120.8780000	AA-403-G6	False		2011-06-18	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	314006	RMB	9531	Lepidodactylus	balioburius	Philippines	Batan	Batanes	Batanes Province; Municipality of Basco; Barangay San Antonio, Sitio Chadpidan	20.4700000	-121.9910000	T-287-C5	False		2008-05-31	ku_gekkonid_tissues.txt
KU	328801	RMB	13653	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-G8	False		2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	328800	RMB	13652	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-G7	False		2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	328799	RMB	13651	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-G6	False		2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	320396	CDS	3936	Gekko	mindorensis	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.7999500	120.1639300	U-313-E3	False			ku_freezer.txt/ku_gekkonid_tissues.txt
KU	328820	RMB	13657	Gekko	mindorensis	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-H3	False		2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	328819	RMB	13656	Gekko	mindorensis	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-H2	False		2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	320352	CDS	3933	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.7999500	120.1639300	U-313-D9	False			ku_freezer.txt/ku_gekkonid_tissues.txt
KU	320351	CDS	3932	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.7999500	120.1639300	U-313-D8	False			ku_freezer.txt/ku_gekkonid_tissues.txt
KU	304808	RMB	5929	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro			H-111-C8	False		2006-03-13	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	304807	RMB	5928	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro			H-111-C7	False		2006-03-13	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	320382	CDS	3836	Gekko	mindorensis	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.7999500	120.1639300	U-312-C3	False			ku_freezer.txt/ku_gekkonid_tissues.txt
KU	320383	CDS	3837	Gekko	mindorensis	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.7999500	120.1639300	U-312-C4	False			ku_freezer.txt/ku_gekkonid_tissues.txt
KU	320377	CDS	3831	Gekko	mindorensis	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.7999500	120.1639300	U-312-B7	False			ku_freezer.txt/ku_gekkonid_tissues.txt
KU	308559	ELR	1017	Gekko	gecko	Philippines	Mindoro	Mindoro	Occidental Mindoro Province; Municipality of Paluan; Barangay Harrison, Sitio Ulasan, Local Name " Matingaram"	13.4630556	120.4122222	L-177-E8	False		2007-01-08	ku_gekkonid_tissues.txt
KU	320379	CDS	3833	Gekko	mindorensis	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.7999500	120.1639300	U-312-B9	False			ku_freezer.txt/ku_gekkonid_tissues.txt
