field_series	field_number	genus	epithet	country	island	paic
RMB	9089	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9090	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9093	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9092	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9094	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
LSUHC	5135	Cyrtodactylus	leegrismeri	West Malaysia	Pulau Tenggol	
LSUHC	5136	Cyrtodactylus	leegrismeri	West Malaysia	Pulau Tenggol	
LSUHC	5137	Cyrtodactylus	leegrismeri	West Malaysia	Pulau Tenggol	
LSUHC	5138	Cyrtodactylus	leegrismeri	West Malaysia	Pulau Tenggol	
LSUHC	5139	Cyrtodactylus	leegrismeri	West Malaysia	Pulau Tenggol	
LSUHC	5141	Cyrtodactylus	leegrismeri	West Malaysia	Pulau Tenggol	
LSUHC	5140	Cyrtodactylus	leegrismeri	West Malaysia	Pulau Tenggol	
LSUHC	5142	Cyrtodactylus	leegrismeri	West Malaysia	Pulau Tenggol	
LSUHC	6318	Cyrtodactylus	lekaguli	Thailand		
LSUHC	6325	Cyrtodactylus	lekaguli	Thailand		
LSUHC	6326	Cyrtodactylus	lekaguli	Thailand		
LSUHC	6327	Cyrtodactylus	lekaguli	Thailand		
LSUHC	6112	Cyrtodactylus	majula	Singapore		
LSUHC	6111	Cyrtodactylus	majula	Singapore		
LSUHC	6308	Cyrtodactylus	majula	Singapore		
LSUHC	6309	Cyrtodactylus	majula	Singapore		
LSUHC	6311	Cyrtodactylus	majula	Singapore		
LSUHC	6313	Cyrtodactylus	majula	Singapore		
LSUHC	6312	Cyrtodactylus	majula	Singapore		
LSUHC	6310	Cyrtodactylus	majula	Singapore		
RMB	8492	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8445	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8444	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8436	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8427	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8416	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8417	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8418	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8382	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8381	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8380	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8376	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8375	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8340	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8341	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8323	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8325	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8321	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
RMB	8322	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao
LSUHC	4478	Cyrtodactylus	pantiensis	West Malaysia		
LSUHC	4479	Cyrtodactylus	pantiensis	West Malaysia		
LSUHC	4476	Cyrtodactylus	pantiensis	West Malaysia		
LSUHC	4477	Cyrtodactylus	pantiensis	West Malaysia		
LSUHC	4474	Cyrtodactylus	pantiensis	West Malaysia		
LSUHC	4475	Cyrtodactylus	pantiensis	West Malaysia		
LSUHC	4472	Cyrtodactylus	pantiensis	West Malaysia		
LSUHC	4473	Cyrtodactylus	pantiensis	West Malaysia		
LSUHC	4470	Cyrtodactylus	pantiensis	West Malaysia		
LSUHC	4471	Cyrtodactylus	pantiensis	West Malaysia		
LSUHC	5230	Cyrtodactylus	oldhami	Thailand		
LSUHC	5229	Cyrtodactylus	oldhami	Thailand		
LSUHC	5232	Cyrtodactylus	oldhami	Thailand		
LSUHC	5231	Cyrtodactylus	oldhami	Thailand		
RMB	5905	Cyrtodactylus	philippinicus	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5907	Cyrtodactylus	philippinicus	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5906	Cyrtodactylus	philippinicus	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5811	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group
RMB	5792	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group
RMB	5791	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group
RMB	5756	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group
RMB	5757	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group
RMB	5754	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group
RMB	5755	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group
RMB	5752	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group
RMB	5753	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group
RMB	5751	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group
RMB	5724	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group
RMB	5707	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group
RMB	5570	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5569	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5529	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5503	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5502	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5501	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5500	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5366	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5365	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5364	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5363	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5362	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5361	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5360	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5359	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5350	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5351	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5349	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	5348	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
CDS	3933	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
CDS	3932	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
CDS	3869	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
CDS	3781	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
CDS	3793	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
CDS	3749	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
CDS	3751	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
CDS	3750	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
CDS	3752	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang
RMB	15211	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	15212	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	15119	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	15070	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	15053	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	15052	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14953	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14955	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
