divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,1,1,2,0	0.0077	nan	0:1.99128822431[&age_median=1.99128822431,age_mean=2.49075562156,age_n=77,age_range={0.02057127713,8.16599260859},age_hpdi_95={0.02057127713,6.36790018496},age_qi_95={0.17722689621,6.70323128537}],1:2.60629403257[&age_median=2.60629403257,age_mean=2.76450626795,age_n=77,age_range={0.06705639948,8.42242564099},age_hpdi_95={0.16364810395,5.82229833626},age_qi_95={0.170795527804,5.87492724913}],2:3.60504291545[&age_median=3.60504291545,age_mean=3.74883623377,age_n=77,age_range={0.06733220199,9.6561316585},age_hpdi_95={0.06733220199,8.39535981389},age_qi_95={0.238690359799,8.73329566144}]
0,1,2,2,2	0.0073	nan	0:3.29245923864[&age_median=3.29245923864,age_mean=3.79917467701,age_n=73,age_range={0.02408693403,10.950877326},age_hpdi_95={0.02408693403,9.09029469584},age_qi_95={0.129989408624,10.4712612736}],1:2.94942517993[&age_median=2.94942517993,age_mean=3.51564613264,age_n=73,age_range={0.00229907491,11.9317735229},age_hpdi_95={0.00229907491,8.19865652975},age_qi_95={0.070124031932,9.28565356335}],2:2.02051231685[&age_median=2.02051231685,age_mean=2.16799366025,age_n=73,age_range={0.02374793746,5.51365959399},age_hpdi_95={0.02374793746,4.47447623408},age_qi_95={0.110980660264,4.84773046095}]
0,0,1,2,0	0.0072	nan	0:1.60691769447[&age_median=1.60691769447,age_mean=1.87434389746,age_n=72,age_range={0.06011800467,5.93234750593},age_hpdi_95={0.06011800467,4.6258477385},age_qi_95={0.12694831656,5.05727278144}],1:3.3588122958[&age_median=3.3588122958,age_mean=4.145008233,age_n=72,age_range={0.06887503495,13.4758615657},age_hpdi_95={0.06887503495,10.0261301943},age_qi_95={0.236715641449,11.0252662376}],2:3.80309499783[&age_median=3.80309499783,age_mean=4.23490252988,age_n=72,age_range={0.03863942644,9.93498349367},age_hpdi_95={0.03863942644,8.84907977045},age_qi_95={0.209494709263,9.16644996283}]
0,1,1,2,1	0.007	nan	0:2.94789796637[&age_median=2.94789796637,age_mean=3.47401581411,age_n=70,age_range={0.07421940179,11.9436054237},age_hpdi_95={0.07421940179,8.05809006482},age_qi_95={0.47086202834,8.85613480439}],1:1.61016101836[&age_median=1.61016101836,age_mean=1.79893659329,age_n=70,age_range={0.0264208629,5.54962525641},age_hpdi_95={0.0264208629,4.49332467434},age_qi_95={0.0438576773753,4.90717561367}],2:4.11568175858[&age_median=4.11568175858,age_mean=4.57541237097,age_n=70,age_range={0.19974914176,12.2609686406},age_hpdi_95={0.19974914176,9.43930156787},age_qi_95={0.325217039572,9.82600264249}]
0,0,1,0,2	0.0067	nan	0:2.13016341084[&age_median=2.13016341084,age_mean=2.01104567548,age_n=67,age_range={0.0743068556,5.54781351035},age_hpdi_95={0.0743068556,4.05929757641},age_qi_95={0.141294900321,4.24033161965}],1:3.35609941441[&age_median=3.35609941441,age_mean=3.51485996378,age_n=67,age_range={0.02579477971,9.87884470194},age_hpdi_95={0.02579477971,9.14742870934},age_qi_95={0.062042109263,9.7735089941}],2:3.48211840125[&age_median=3.48211840125,age_mean=3.7658860246,age_n=67,age_range={0.10864625484,10.9401101357},age_hpdi_95={0.10864625484,9.58626519833},age_qi_95={0.155747250931,10.7739000247}]
0,1,2,1,1	0.0064	nan	0:3.38221241057[&age_median=3.38221241057,age_mean=3.78838635591,age_n=64,age_range={0.27597153802,13.0228364026},age_hpdi_95={0.38816372925,9.0069142291},age_qi_95={0.423959427241,9.89879381507}],1:1.51246836635[&age_median=1.51246836635,age_mean=1.92271432516,age_n=64,age_range={0.00441487731,5.98072733607},age_hpdi_95={0.00441487731,4.66405139711},age_qi_95={0.172194793358,5.13636617556}],2:3.67894700629[&age_median=3.67894700629,age_mean=4.36674659801,age_n=64,age_range={0.18739255,11.3488843117},age_hpdi_95={0.18739255,8.93191905578},age_qi_95={0.306827832023,10.3619287538}]
0,1,1,1,2	0.005	nan	0:2.82035883719[&age_median=2.82035883719,age_mean=3.29964909261,age_n=50,age_range={0.07643527616,11.0018665393},age_hpdi_95={0.07643527616,9.63231784043},age_qi_95={0.113246924622,10.1620315651}],1:1.62565599433[&age_median=1.62565599433,age_mean=1.83510827272,age_n=50,age_range={0.04919635173,5.06937261397},age_hpdi_95={0.04919635173,4.53516990098},age_qi_95={0.097281264515,4.62847769984}],2:3.50649470453[&age_median=3.50649470453,age_mean=3.95147785684,age_n=50,age_range={0.23414009987,11.7491248017},age_hpdi_95={0.23414009987,8.87844463979},age_qi_95={0.348154624141,9.36476855253}]
0,1,2,3,3	0.0047	nan	0:2.32446070618[&age_median=2.32446070618,age_mean=3.23902007181,age_n=47,age_range={0.07453692991,10.9891709307},age_hpdi_95={0.07453692991,8.46262565203},age_qi_95={0.111594168707,8.85181746738}],1:3.40017216426[&age_median=3.40017216426,age_mean=3.55546548499,age_n=47,age_range={0.08522203158,10.0754955854},age_hpdi_95={0.08522203158,8.66510271951},age_qi_95={0.275145668273,9.49355588801}],2:2.49163077875[&age_median=2.49163077875,age_mean=3.13247689302,age_n=47,age_range={0.14592725081,9.9895609283},age_hpdi_95={0.14592725081,6.8391023595},age_qi_95={0.347429636879,8.83663534683}],3:1.40367201653[&age_median=1.40367201653,age_mean=2.1012208083,age_n=47,age_range={0.02194820646,6.39216317313},age_hpdi_95={0.02194820646,5.3734583869},age_qi_95={0.0484834578475,5.55265469295}]
0,1,2,1,3	0.0041	nan	0:2.76836095067[&age_median=2.76836095067,age_mean=3.19417867079,age_n=41,age_range={0.14067636379,7.76941005662},age_hpdi_95={0.14067636379,7.27101661241},age_qi_95={0.23592109799,7.48741585605}],1:1.85964385061[&age_median=1.85964385061,age_mean=2.22587364897,age_n=41,age_range={0.00277446199,5.3825916802},age_hpdi_95={0.21149956587,5.3825916802},age_qi_95={0.05132507895,5.37791479004}],2:2.93343318267[&age_median=2.93343318267,age_mean=3.62848479792,age_n=41,age_range={0.04092314332,9.51405139833},age_hpdi_95={0.29669218025,8.79146745618},age_qi_95={0.29669218025,8.79146745618}],3:2.69502835959[&age_median=2.69502835959,age_mean=3.234379075,age_n=41,age_range={0.16486826396,8.02430932978},age_hpdi_95={0.16486826396,7.13140459433},age_qi_95={0.16536700438,7.26450004351}]
0,1,1,2,3	0.004	nan	0:3.08888045287[&age_median=3.08888045287,age_mean=3.44857770592,age_n=40,age_range={0.13446252622,8.19339877398},age_hpdi_95={0.33984789233,7.58448784962},age_qi_95={0.334713258177,7.59971062273}],1:1.79921884652[&age_median=1.79921884652,age_mean=2.10755384705,age_n=40,age_range={0.08017334703,6.46101059918},age_hpdi_95={0.08017334703,5.11488420637},age_qi_95={0.184095767658,6.30500049717}],2:2.22119680268[&age_median=2.22119680268,age_mean=2.94255632453,age_n=40,age_range={0.01668759082,10.3807693346},age_hpdi_95={0.01668759082,8.49818778758},age_qi_95={0.0357879002072,9.60811487436}],3:2.2471550591[&age_median=2.2471550591,age_mean=3.31659856192,age_n=40,age_range={0.18181299497,9.49914518503},age_hpdi_95={0.4421912413,9.4133605279},age_qi_95={0.435681785142,9.41550514433}]
