taxa	H	E
CDS_6054_Gekko_mindorensis_Luzon.trimmed	0.00428581	0.00036001	
CDS_4341_Cyrtodactylus_philippinicus_Negros.trimmed	0.00400819	0.00029937	
RMB_5954_Gekko_crombota_BabuyanClaro.trimmed	0.00361804	0.00031982	
CDS_1230_Gekko_mindorensis_Mindoro.trimmed	0.00394792	0.00026987	
CDS_49_Gekko_gigante_NorthGigante.trimmed	0.0042362	0.00034163	
CDS_159_Gekko_ernstkelleri_Panay.trimmed	0.00432831	0.00041686	
RMB_9552_Gekko_porosus_Sabtang.trimmed	0.00315509	0.00025611	
RMB_13766_Gekko_gecko_Luzon.trimmed	0.00518615	0.00042026	
RMB_9529_Lepidodactylus_balioburius_Batan.trimmed	0.00414813	0.00022865	
RMB_8444_Cyrtodactylus_mamanwa_Dinagat.trimmed	0.00786941	0.00118809	
RMB_9575_Gekko_porosus_Batan.trimmed	0.00326548	0.00023198	
RMB_8418_Cyrtodactylus_mamanwa_Dinagat.trimmed	0.0079103	0.00113374	
CDS_5823_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00597336	0.00120178	
CDS_590_Gekko_mindorensis_Caluya.trimmed	0.0045952	0.00040334	
CDS_2984_Cyrtodactylus_sumuroi_Samar.trimmed	0.00691629	0.00037375	
RMB_5793_Gekko_sp.b_CamiguinNorte.trimmed	0.00344824	0.0001991	
CDS_46_Gekko_gigante_SouthGigante.trimmed	0.00461725	0.00034269	
CDS_64_Gekko_mindorensis_Panay.trimmed	0.00378289	0.0002354	
CDS_1550_Cyrtodactylus_philippinicus_Panay.trimmed	0.0052826	0.00029755	
RMB_13589_Gekko_carusadensis_Luzon.trimmed	0.00479704	0.00037904	
CDS_755_Gekko_mindorensis_Masbate.trimmed	0.00327679	0.00023255	
RMB_13660_Gekko_mindorensis_Luzon.trimmed	0.00418736	0.00039992	
RMB_9748_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00576075	0.00115369	
KUFS_13_Gekko_chinensis_China.trimmed	0.00491294	0.00039947	
CDSGS_40_Gekko_mindorensis_Negros.trimmed	0.00305801	0.00022958	
RMB_8932_Cyrtodactylus_gubaot_Leyte.trimmed	0.00686494	0.00112054	
CDS_53_Gekko_gigante_NorthGigante.trimmed	0.00503206	0.00044715	
RMB_8933_Cyrtodactylus_gubaot_Leyte.trimmed	0.00691112	0.0011559	
CDS_1112_Cyrtodactylus_philippinicus_Polillo.trimmed	0.006049	0.00033902	
CDS_591_Gekko_mindorensis_Caluya.trimmed	0.00510402	0.00038954	
RMB_7842_Cyrtodactylus_redimiculus_Palawan.trimmed	0.00523385	0.00033828	
RMB_7649_Cyrtodactylus_tautbatorum_Palawan.trimmed	0.00574639	0.00032858	
CDS_758_Gekko_mindorensis_Masbate.trimmed	0.00370884	0.00021418	
RMB_3118_Gekko_athymus_Palawan.trimmed	0.00452709	0.00035513	
RMB_7831_Gekko_athymus_Palawan.trimmed	0.00516432	0.00034858	
RMB_12584_Gehyra_mutilata_Luzon.trimmed	0.00580262	0.00034447	
ELR_681_Cyrtodactylus_philippinicus_Mindoro.trimmed	0.00542057	0.00103646	
CDS_6052_Gekko_mindorensis_Luzon.trimmed	0.00538551	0.00036074	
ELR_682_Cyrtodactylus_philippinicus_Mindoro.trimmed	0.00513457	0.00031791	
CDS_65_Gekko_mindorensis_Panay.trimmed	0.00408849	0.00020812	
RMB_13659_Gekko_mindorensis_Luzon.trimmed	0.00493901	0.00041409	
CDS_610_Gekko_mindorensis_Caluya.trimmed	0.00536596	0.00041282	
RMB_9570_Lepidodactylus_balioburius_Sabtang.trimmed	0.00513393	0.00027796	
CDS_6047_Gekko_mindorensis_Luzon.trimmed	0.00553236	0.00037069	
RMB_13770_Gekko_gecko_Luzon.trimmed	0.0061689	0.00039047	
RMB_6261_Cyrtodactylus_philippinicus_Polillo.trimmed	0.00575674	0.0004	
CDS_51_Gekko_gigante_NorthGigante.trimmed	0.00554122	0.00044483	
RMB_7646_Cyrtodactylus_tautbatorum_Palawan.trimmed	0.00623996	0.00036277	
KUFS_14_Gekko_chinensis_China.trimmed	0.00603948	0.00040943	
