catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island
LSUHC	1021	LSUHC	1021	Gekko	monarchus	Malaysia	Pulau Aur
LSUHC	236	LSUHC	236	Gekko	monarchus	Malaysia	Pulau Mertang Timur
LSUHC	237	LSUHC	237	Gekko	monarchus	Malaysia	Pulau Mertang Timur
LSUHC	238	LSUHC	238	Gekko	monarchus	Malaysia	Pulau Mertang Timur
LSUHC	239	LSUHC	239	Gekko	monarchus	Malaysia	Pulau Mertang Timur
LSUHC	240	LSUHC	240	Gekko	monarchus	Malaysia	Pulau Mertang Timur
LSUHC	175	LSUHC	175	Gekko	monarchus	Malaysia	Pulau Tioman
LSUHC	1022	LSUHC	1022	Gekko	monarchus	Malaysia	Pulau Tioman
LSUHC	5607	LSUHC	5607	Gekko	monarchus	West Malaysia	Pulau Tioman
LSUHC	4490	LSUHC	4490	Gekko	monarchus	West Malaysia	
LSUHC	4491	LSUHC	4491	Gekko	monarchus	West Malaysia	
LSUHC	4492	LSUHC	4492	Gekko	monarchus	West Malaysia	
LSUHC	4493	LSUHC	4493	Gekko	monarchus	West Malaysia	
LSUHC	3223	LSUHC	3223	Gekko	palmatus	Vietnam	
LSUHC	3224	LSUHC	3224	Gekko	palmatus	Vietnam	
LSUHC	3225	LSUHC	3225	Gekko	palmatus	Vietnam	
LSUHC	5161	LSUHC	5161	Gekko	smithii	West Malaysia	Pulau Perhentian Besar
LSUHC	5162	LSUHC	5162	Gekko	smithii	West Malaysia	Pulau Perhentian Besar
LSUHC	5163	LSUHC	5163	Gekko	smithii	West Malaysia	Pulau Perhentian Besar
LSUHC	5164	LSUHC	5164	Gekko	smithii	West Malaysia	Pulau Perhentian Besar
LSUHC	5165	LSUHC	5165	Gekko	smithii	West Malaysia	Pulau Perhentian Besar
LSUHC	183	LSUHC	183	Gekko	smithii	Malaysia	Pulau Tioman
LSUHC	184	LSUHC	184	Gekko	smithii	Malaysia	Pulau Tioman
LSUHC	185	LSUHC	185	Gekko	smithii	Malaysia	Pulau Tioman
LSUHC	186	LSUHC	186	Gekko	smithii	Malaysia	Pulau Tioman
LSUHC	1023	LSUHC	1023	Gekko	smithii	Malaysia	Pulau Tulai
LSUHC	1024	LSUHC	1024	Gekko	smithii	Malaysia	Pulau Tulai
LSUHC	1025	LSUHC	1025	Gekko	smithii	Malaysia	Pulau Tulai
LSUHC	1026	LSUHC	1026	Gekko	smithii	Malaysia	Pulau Tulai
