Cat. No.	Species	Locality	
5892	Cyrtodactylus pulchellus	"West Malaysia, Pahang, Cameron Highlands"	
5902	Cyrtodactylus pulchellus	"West Malaysia, Perak, Lenggong, Gua Puteri"	
5942	Cyrtodactylus pulchellus	"West Malaysia, Pahang, Cameron Highlands"	
5943	Cyrtodactylus pulchellus	"West Malaysia, Perlis, Wang Kelian"	
5944	Cyrtodactylus pulchellus	"West Malaysia, Perlis, Wang Kelian"	
5948	Cyrtodactylus pulchellus	"West Malaysia, Penang, Pulau Pinang, Terjun Titi Kerawang"	
5975	Cyrtodactylus pulchellus	"West Malaysia, Pahang, Cameron Highlands"	
5976	Cyrtodactylus pulchellus	"West Malaysia, Pahang, Cameron Highlands"	
5977	Cyrtodactylus pulchellus	"West Malaysia, Pahang, Cameron Highlands"	
5978	Cyrtodactylus pulchellus	"West Malaysia, Perlis, Wang Kelian"	
6165	Cyrtodactylus pulchellus	"West Malaysia, Perlis, Bukit Larut"	
6166	Cyrtodactylus pulchellus	"West Malaysia, Perlis, Bukit Larut"	
6197	Cyrtodactylus pulchellus	"West Malaysia, Perak, Ulu Muda"	
6198	Cyrtodactylus pulchellus	"West Malaysia, Pahang, Cameron Highlands"	
6199	Cyrtodactylus pulchellus	"West Malaysia, Pahang, Cameron Highlands"	
6200	Cyrtodactylus pulchellus	"West Malaysia, Pahang, Cameron Highlands"	
6248	Cyrtodactylus pulchellus	"Malaysia, Kedah, Ulu Paip"	
6315	Cyrtodactylus pulchellus	"West Malaysia, Penang, Pulau Pinang, Penang Hill"	
6316	Cyrtodactylus pulchellus	"West Malaysia, Penang, Pulau Pinang, Air Terjun Titi Kerawang"	
950	Cyrtodactylus quadrivirgatus	Vietnam	
2606	Cyrtodactylus quadrivirgatus	"Malaysia, Pahang, Fraser's Hill"	
2607	Cyrtodactylus quadrivirgatus	"Malaysia, Pahang, Fraser's Hill"	
2608	Cyrtodactylus quadrivirgatus	"Malaysia, Pahang, Fraser's Hill"	
2609	Cyrtodactylus quadrivirgatus	"Malaysia, Pahang, Fraser's Hill"	
2610	Cyrtodactylus quadrivirgatus	"Malaysia, Pahang, Fraser's Hill"	
2611	Cyrtodactylus quadrivirgatus	"Malaysia, Pahang, Fraser's Hill"	
2612	Cyrtodactylus quadrivirgatus	"Malaysia, Pahang, Fraser's Hill"	
2613	Cyrtodactylus quadrivirgatus	"Malaysia, Pahang, Fraser's Hill"	
2614	Cyrtodactylus quadrivirgatus	"Malaysia, Pahang, Fraser's Hill"	
4243	Cyrtodactylus quadrivirgatus	"West Malaysia, Perak, Bukit Larut"	
4385	Cyrtodactylus quadrivirgatus	"West Malaysia, Johor, Gunug Ledang"	
4386	Cyrtodactylus quadrivirgatus	"West Malaysia, Johor, Gunug Ledang"	
4454	Cyrtodactylus quadrivirgatus	"West Malaysia, Pahang, Bukit Fraser"	
4455	Cyrtodactylus quadrivirgatus	"West Malaysia, Perak, Bukit Larut"	
4456	Cyrtodactylus quadrivirgatus	"West Malaysia, Perak, Bukit Larut"	
4779	Cyrtodactylus quadrivirgatus	"West Malaysia, Perak, Bukit Larut"	
5202	Cyrtodactylus quadrivirgatus	"West Malaysia, Kedah, Pulau Langkawi"	
5203	Cyrtodactylus quadrivirgatus	"West Malaysia, Kedah, Pulau Langkawi"	
5582	Cyrtodactylus quadrivirgatus	"West Malaysia, Johor, Gunung Ledang"	
5767	Cyrtodactylus quadrivirgatus	"West Malaysia, Perak, Bukit Larut"	
5776	Cyrtodactylus quadrivirgatus	"West Malaysia, Perak, Bukit Larut"	
6251	Cyrtodactylus quadrivirgatus	"Malaysia, Kedah, Gunung Jerai"	
6257	Cyrtodactylus quadrivirgatus	"Malaysia, Perlis, Perlis State Park"	
6258	Cyrtodactylus quadrivirgatus	"Malaysia, Penang, Panchor"	
1945	Cyrtodactylus semenanjungensis	"Malaysia, Johor, Gunug Panti"	
1946	Cyrtodactylus semenanjungensis	"Malaysia, Johor, Gunug Panti"	
2007	Cyrtodactylus semenanjungensis	"Malaysia, Johor"	
2008	Cyrtodactylus semenanjungensis	"Malaysia, Johor"	
2009	Cyrtodactylus semenanjungensis	"Malaysia, Johor"	
2010	Cyrtodactylus semenanjungensis	"Malaysia, Johor, Gunung Panti"	
2011	Cyrtodactylus semenanjungensis	"Malaysia, Johor, Gunung Panti"	
4450	Cyrtodactylus semenanjungensis	"West Malaysia, Johor, Bunker Trail"	
4451	Cyrtodactylus semenanjungensis	"West Malaysia, Johor, Bunker Trail"	
4452	Cyrtodactylus semenanjungensis	"West Malaysia, Johor, Bunker Trail"	
4453	Cyrtodactylus semenanjungensis	"West Malaysia, Johor, Bunker Trail"	
7	Cyrtodactylus seribuatensis	"Malaysia, Johor, Pulau Nangka Kecil"	
