field_series	field_number	catalog_series	catalog_number	genus	epithet	country	island	paic	locality	lat	long	tissue	extract	date	source
RMB	12837	KU	323192	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.68	121.529	W-343-C8	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	12838	KU	323193	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.68	121.529	W-343-C9	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	12845	KU	323194	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.68	121.529	W-343-D7	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13902	KU	329346	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Bulacan Province; Municipality of Dona Remedios Trinidad; Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed	15.0333	121.2032	AB-417-F6	False	2011-06-08	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13961	KU	329348	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Bulacan Province; Municipality of Dona Remedios Trinidad; Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed	15.0333	121.2032	AB-418-C9	False	2011-06-10	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13962	KU	329349	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Bulacan Province; Municipality of Dona Remedios Trinidad; Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed	15.0333	121.2032	AB-418-D1	False	2011-06-10	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13963	KU	329350	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Bulacan Province; Municipality of Dona Remedios Trinidad; Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed	15.0333	121.2032	AB-418-D2	False	2011-06-10	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13964	KU	329351	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Bulacan Province; Municipality of Dona Remedios Trinidad; Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed	15.0333	121.2032	AB-418-D3	False	2011-06-10	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13965	KU	329352	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Bulacan Province; Municipality of Dona Remedios Trinidad; Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed	15.0333	121.2032	AB-418-D4	False	2011-06-10	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13966	KU	329353	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Bulacan Province; Municipality of Dona Remedios Trinidad; Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed	15.0333	121.2032	AB-418-D5	False	2011-06-10	ku_freezer.txt/ku_gekkonid_tissues.txt
